Name;Leden;Regio;Onderwerpen;Type;Independent or not?;
Inclusive Design & Accessibility;518;Randstad;A11y;;;
NLHTML5;1880;Amsterdam;HTML, CSS, Javascript;;Ja;
Design Thinking Amsterdam;1591;Amsterdam;Design;;;
Behavior Design AMS;2093;Amsterdam;Design;;;
Master Digital Design;507;Amsterdam;Design;;;
Amsterdam Code + Design Community;714;Amsterdam;Design;;;
Designer & Creator Hangout;1051;Amsterdam;Design;;;
Strategic Design Sandbox;1292;Amsterdam;Design;;;
GDG Netherlands;296;Amsterdam;Google dev groups;;No;
NijmegenJS;151;Nijmegen;Javascript;;;
Twente.js;220;Twente;Javascript;;;
Beer.js Amsterdam;425;Amsterdam;Javascript;;;
Utrecht JavaScript Meetup;981;Utrecht;Javascript;;;
GoReactive;227;Amsterdam;Javascript;;;
Eindhoven.js;86;Eindhoven;Javascript;;;
Meteor Leuven;158;Leuven, Belgium;Javascript framework;;;
Angular Amsterdam Meetup;175;Amsterdam;Javascript framework;;No, organised by a recruitment party (The FrontendLab);
Ember.js Amsterdam;338;Amsterdam;Javascript framework;;;
React Amsterdam;814;Amsterdam;Javascript framework;;;
JavaScript MVC Meetup Amsterdam;902;Amsterdam;Javascript framework;;;
React Native Amsterdam;924;Amsterdam;Javascript framework;;;
AngularDam;113;Amsterdam;Javascript framework;;;
Codestar Night;554;Utrecht;Javascript framework;;;
VueJS Meetup Amsterdam;586;Amsterdam;Javascript framework;;No (FrontendLab);
Silicon Veluwe;118;Apeldoorn;Management;;;
Lead Developers Amsterdam;209;Amsterdam;Management;;;
ProductTank AMS;1500;Amsterdam;Management;;;
Beer & Bytes;55;Nijmegen;Netwerken;;;
Drinks, Pitches & Demo’s;73;Eindhoven;Netwerken;;;
IPAs & APIs;548;Amsterdam;API’s;;;
Coffee Code and Chat;840;Utrecht;Netwerken;;;
Webcrafters | Work On Your Sideproject;1031;Amsterdam;Netwerken;;Ja;
AMSxTech Meetups;2113;Amsterdam;Netwerken;;;
Tech Morning Meetup;3922;Amsterdam;Netwerken;Show and tell;ja;
Permanent Beta;4721;Amsterdam;Tech algemeen;;;
Codemotion Amsterdam Meetup;542;Amsterdam;Tech algemeen, congres pre-event;;;
GOTO Nights Amsterdam;2406;Amsterdam;Tech algemeen, congres pre-event;;;
TestNet werkgroep test automatisering;50;Amsterdam;Testing;;Onderdeel van TestNet, vakvereniging voor testers;
Web Apps Veenendaal;62;Veenendaal;Testing;;;
Hands-on test tooling workshops by bol.com and VX Company;128;Utrecht;Testing;;No;
Code By The City;212;Groningen;Testing;;;
Ministry of Testing - Utrecht;250;Utrecht;Testing;;;
Behaviour Driven Development NL;275;Amsterdam;Testing;;;
Technical Test Experts Nederland;404;Utrecht;Testing;;;
Software Testing Nederland;721;Amsterdam;Testing;;No, organised by a recruitment party (The FrontendLab);
Nijmegen Experience Design Meetup;20;Nijmegen;UX;;;
UX Research Groningen;86;Groningen;UX;;;
Zorg | Voor UX;96;Arnhem;UX;;;
UX Book Club Utrecht;106;Utrecht;UX;;;
UX Playground Amsterdam;133;Amsterdam;UX;;;
Amsterdam UX Cocktail Hours;153;Amsterdam;UX;Networking-meetups;;
Think UX Haarlem;156;Haarlem;UX;;;
UX Designers HQ Amsterdam;404;Amsterdam;UX;;;
UXU - UX Utrecht;446;Utrecht;UX;;;
Lean UX Amsterdam;1047;Amsterdam;UX;;;
Amsterdam UX;3293;Amsterdam;UX;;;
Amsterdam User Experience Meetup;120;Amsterdam;UX;;;
Ladies that UX Utrecht;621;Utrecht;UX;;;
We All Code;307;Amsterdam;Development;;;
Amsterdam Women in Tech Meetup;82;Amsterdam;Development;;;
Girls Who Like Code;252;Groningen;Development;;;
Women in Tech;260;Amsterdam;Development;Networking;;
Geek Girls Carrots Amsterdam;358;Amsterdam;;Networking;;
Girl Code;885;Amsterdam;Development;;;
Let's Code Together - Women's Code Club in Amsterdam;210;Amsterdam;Development;;;
Ladies that UX Amsterdam;958;Amsterdam;UX;;;
Refresh Amsterdam;33;Amsterdam;Development;;;
Haarlem Coding Meetup;50;Haarlem;Development;;;
Google I/O Extended - Twente;52;Twente;Google I/O;One-time;;
Beroepsvereniging van informatie- en IT-professionals;57;Rotterdam;Development;;;
Developer Tech Nite;58;Baarn;Development;;;
ABCD;62;Utrecht;Testing (A/B);;;
Framer Amsterdam;62;Amsterdam;Development;;;
Amsterdam Onderwijs en technologie Meetup;66;Amsterdam;Education;;;
Dutch Web Alliance Meetups;68;Utrecht;Backend/Frontend;;;
Amsterdam Semantic Web Meetup;71;Amsterdam;Development;;;
Haarlem.tech;74;Haarlem;Development;;;
CodeMonkeys;78;Zwolle;Development;;;
Functional Twente;83;Twente;Development;;;
Amsterdam New Technology Meetup;84;Amsterdam;Development;;;
073 Developers Beer Chat;100;s Hertogenbosch;Development;Networking-meetups;;
Interaction Design Foundation UX Utrecht;103;Utrecht;UX;;;
Ontwerp Platform Arnhem OPA;104;Arnhem;Design;;;
Stedendriehoek web developers;104;Deventer;Development;;;
Dordrecht Internet (Startups) Meetup;107;Dordrecht;Development;;;
Gemini Solutions Amsterdam;107;Amsterdam;Development;;No;
Open Source Tools for Testing in DevOps Era - Amsterdam;107;Amsterdam;Testing;;;
The NextGen Meetups;112;Amsterdam;Development;;No;
VechtdalDev;116;Hardenberg;Development;;;
Amsterdam Software Ontwikkeling Meetup;121;Amsterdam;Development;;;
Blauwe Makers;127;Den Bosch;Development;;;
Creative Coding Tilburg;135;Tilburg;Development;;;
Groningen Frontend Devs;146;Groningen;Development;;;
DownSouth Eindhoven;147;Eindhoven;Development;;;
Sogeti Front-End & Mobile;151;Vianen;Development;;No;
EnscheDev;167;Enschede;Development;;;
WDG - Wehkamp Development Group;170;Zwolle;Development;;No;;https://www.meetup.com/Zwolle-Software-Development-Meetup/
