;;
Duchess Nederland - Ladies in Java;62;Amsterdam
Ladies that UX Utrecht;621;Utrecht
We All Code;307;Amsterdam
Amsterdam Women in Tech Meetup;82;Amsterdam
R-Ladies Amsterdam;138;Amsterdam
Girls Who Like Code;252;Groningen
Women in Tech;260;Amsterdam
Geek Girls Carrots Amsterdam;358;Amsterdam
RailsGirls NL;423;Amsterdam
SheSharp (S#E);688;Amsterdam
Girl Code;885;Amsterdam
Let's Code Together - Women's Code Club in Amsterdam;210;Amsterdam
PyLadies Amsterdam;288;Amsterdam
Ladies that UX Amsterdam;958;Amsterdam
